Concept number,Word,uniqueID
1,aardvark,aardvark
2,abacus,abacus
3,accordion,accordion
4,acorn,acorn
5,air conditioner,air_conditioner
6,air mattress,air_mattress
7,air pump,air_pump
8,airbag,airbag
9,airboat,airboat
10,aircraft carrier,aircraft_carrier
11,airplane,airplane
12,album,album
13,alligator,alligator
14,almond,almond
15,aloe,aloe
16,alpaca,alpaca
17,altar,altar
18,aluminum foil,aluminum_foil
19,amber,amber
20,ambulance,ambulance
21,amplifier,amplifier
22,anchor,anchor
23,ankle,ankle
24,anklet,anklet
25,ant,ant
26,anteater,anteater
27,antelope,antelope
28,antenna,antenna
29,anvil,anvil
30,appetizer,appetizer
31,apple,apple
32,apple tree,apple_tree
33,applesauce,applesauce
34,apron,apron
35,aquarium,aquarium
36,arch,arch
37,arm,arm
38,armor,armor
39,arrow,arrow
40,artichoke,artichoke
41,arugula,arugula
42,ashtray,ashtray
43,asparagus,asparagus
44,avocado,avocado
45,awning,awning
46,axe,axe
47,baby,baby
48,backdrop,backdrop
49,backgammon,backgammon
50,backpack,backpack
51,backscratcher,backscratcher
52,bacon,bacon
53,badge,badge
54,badger,badger
55,bag,bag
56,bagel,bagel
57,bagpipe,bagpipe
58,baklava,baklava
59,balance beam,balance_beam
60,ball,ball
61,balloon,balloon
62,ballot box,ballot_box
63,bamboo,bamboo
64,banana,banana
65,banana peel,banana_peel
66,banana split,banana_split
67,bandage,bandage
68,bandanna,bandanna
69,banjo,banjo
70,bank,bank
71,banner,banner
72,barbed wire,barbed_wire
73,barbell,barbell
74,barcode,barcode
75,bark,bark
76,barnacle,barnacle
77,barrel,barrel
78,barrette,barrette
79,baseball,baseball
80,baseball bat,baseball_bat
81,baseball glove,baseball_glove
82,basil,basil
83,basket,basket
84,basketball,basketball
85,basketball hoop,basketball_hoop
86,bassinet,bassinet
87,bassoon,bassoon
88,bat,bat1
89,bat,bat2
90,bathmat,bathmat
91,bathrobe,bathrobe
92,bathtub,bathtub
93,baton,baton1
94,baton,baton2
95,baton,baton3
96,baton,baton4
97,batter,batter
98,battery,battery
99,bazooka,bazooka
100,beachball,beachball
101,bead,bead
102,beaker,beaker
103,bean,bean
104,beanbag,beanbag
105,beanie,beanie
106,bear,bear
107,beard,beard
108,beaver,beaver
109,bed,bed
110,bedpan,bedpan
111,bedpost,bedpost
112,bee,bee
113,beehive,beehive
114,beer,beer
115,beet,beet
116,beetle,beetle
117,bell,bell
118,bell pepper,bell_pepper
119,belt,belt
120,belt buckle,belt_buckle
121,bench,bench
122,berry,berry
123,bib,bib
124,bike,bike
125,bikini,bikini
126,bin,bin
127,binder,binder
128,binoculars,binoculars
129,bird,bird
130,birdbath,birdbath
131,birdcage,birdcage
132,birdhouse,birdhouse
133,birthday cake,birthday_cake
134,biscuit,biscuit
135,bison,bison
136,blackberry,blackberry
137,blanket,blanket
138,blazer,blazer
139,blender,blender
140,blimp,blimp
141,blind,blind
142,blinder,blinder
143,blindfold,blindfold
144,block,block
145,blouse,blouse
146,blower,blower
147,blowfish,blowfish
148,blowgun,blowgun
149,blowtorch,blowtorch
150,blueberry,blueberry
151,boa,boa
152,boar,boar
153,board,board
154,board game,board_game
155,boat,boat
156,bobsled,bobsled
157,bok choy,bok_choy
158,bolo tie,bolo_tie
159,bologna,bologna
160,bolt,bolt
161,bomb,bomb
162,bone,bone
163,bongo,bongo
164,bonnet,bonnet
165,bonsai,bonsai
166,book,book
167,bookmark,bookmark
168,bookshelf,bookshelf
